2017-04-30T02:53:01.804-0400 I CONTROL  [initandlisten] MongoDB starting : pid=2956 port=27019 dbpath=C:\data\rs3 64-bit host=Lenovo-PC
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten] targetMinOS: Windows 7/Windows Server 2008 R2
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten] db version v3.4.2
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten] git version: 3f76e40c105fc223b3e5aac3e20dcd026b83b38b
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.1u-fips  22 Sep 2016
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten] allocator: tcmalloc
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten] modules: none
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten] build environment:
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten]     distmod: 2008plus-ssl
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten]     distarch: x86_64
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten]     target_arch: x86_64
2017-04-30T02:53:01.805-0400 I CONTROL  [initandlisten] options: { net: { port: 27019 }, replication: { oplogSizeMB: 64, replSet: "m101" }, storage: { dbPath: "C:\data\rs3", mmapv1: { smallFiles: true } }, systemLog: { destination: "file", path: "3.log" } }
2017-04-30T02:53:01.824-0400 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3540M,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2017-04-30T02:53:04.009-0400 W STORAGE  [initandlisten] Detected configuration for non-active storage engine mmapv1 when current storage engine is wiredTiger
2017-04-30T02:53:04.009-0400 I CONTROL  [initandlisten] 
2017-04-30T02:53:04.009-0400 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2017-04-30T02:53:04.010-0400 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2017-04-30T02:53:04.010-0400 I CONTROL  [initandlisten] 
2017-04-30T02:53:04.733-0400 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory 'C:/data/rs3/diagnostic.data'
2017-04-30T02:53:05.194-0400 I REPL     [initandlisten] Did not find local voted for document at startup.
2017-04-30T02:53:05.194-0400 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2017-04-30T02:53:05.196-0400 I NETWORK  [thread1] waiting for connections on port 27019
2017-04-30T02:54:06.282-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:54061 #1 (1 connection now open)
2017-04-30T02:54:06.283-0400 I -        [conn1] end connection 127.0.0.1:54061 (1 connection now open)
2017-04-30T02:54:07.291-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:54064 #2 (1 connection now open)
2017-04-30T02:54:07.292-0400 I NETWORK  [conn2] received client metadata from 127.0.0.1:54064 conn2: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.2" }, os: { type: "Windows", name: "Microsoft Windows 8", architecture: "x86_64", version: "6.2 (build 9200)" } }
2017-04-30T02:54:07.294-0400 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27017
2017-04-30T02:54:09.502-0400 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to localhost:27017
2017-04-30T02:54:09.578-0400 I NETWORK  [thread1] connection accepted from 127.0.0.1:54073 #3 (2 connections now open)
2017-04-30T02:54:09.588-0400 I -        [conn3] end connection 127.0.0.1:54073 (2 connections now open)
2017-04-30T02:54:10.048-0400 I REPL     [replExecDBWorker-0] Starting replication storage threads
2017-04-30T02:54:10.839-0400 I REPL     [replication-0] Starting initial sync (attempt 1 of 10)
